"STATION","NAME","DATE","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES"
"USC00301152","CANANDAIGUA 3 S, NY US","1987-04-02","0.04",",,0,0800",,,"39",",,0","29",",,0","39",",,0,0800"
"USC00301152","CANANDAIGUA 3 S, NY US","1987-04-03","0.05",",,0,0800",,,"45",",,0","33",",,0","35",",,0,0800"
"USC00301152","CANANDAIGUA 3 S, NY US","1987-04-04","0.53",",,0,0800",,,"39",",,0","31",",,0","34",",,0,0800"
"USC00301152","CANANDAIGUA 3 S, NY US","1987-04-05","0.53",",,0,0800",,,"50",",,0","34",",,0","39",",,0,0800"
"USC00301152","CANANDAIGUA 3 S, NY US","1987-04-06","0.49",",,0,0800","0.0","P,,0","49",",,0","38",",,0","42",",,0,0800"
"USC00301152","CANANDAIGUA 3 S, NY US","1987-04-07","0.19",",,0,0800","0.0","P,,0","45",",,0","42",",,0","43",",,0,0800"
"USC00301152","CANANDAIGUA 3 S, NY US","1987-04-08","0.05",",,0,0800","0.0","P,,0","53",",,0","38",",,0","39",",,0,0800"
"USC00301152","CANANDAIGUA 3 S, NY US","1987-04-09","0.01",",,0,0800","0.0","P,,0","47",",,0","39",",,0","43",",,0,0800"
"USC00301152","CANANDAIGUA 3 S, NY US","1987-04-10","0.00","P,,0,0800","0.0","P,,0","59",",,0","43",",,0","52",",,0,0800"
"USC00301152","CANANDAIGUA 3 S, NY US","1987-04-11","0.00","P,,0,0800","0.0","P,,0","68",",,0","38",",,0","44",",,0,0800"
"USC00301152","CANANDAIGUA 3 S, NY US","1987-04-12","0.01",",,0,0800","0.0","P,,0","72",",,0","38",",,0","44",",,0,0800"
"USC00301152","CANANDAIGUA 3 S, NY US","1987-04-13","0.72",",,0,0800","0.0","P,,0","55",",,0","41",",,0","43",",,0,0800"
"USC00301152","CANANDAIGUA 3 S, NY US","1987-04-14","0.01",",,0,0800","0.0","P,,0","60",",,0","38",",,0","44",",,0,0800"
"USC00301152","CANANDAIGUA 3 S, NY US","1987-04-15","0.00","P,,0,0800","0.0","P,,0","64",",,0","44",",,0","54",",,0,0800"
"USC00301152","CANANDAIGUA 3 S, NY US","1987-04-16","0.00","P,,0,0800","0.0","P,,0","65",",,0","47",",,0","49",",,0,0800"
"USC00301152","CANANDAIGUA 3 S, NY US","1987-04-17","0.02",",,0,0800","0.0","P,,0","57",",,0","46",",,0","48",",,0,0800"
"USC00301152","CANANDAIGUA 3 S, NY US","1987-04-18","0.02",",,0,0800","0.0","P,,0","55",",,0","45",",,0","46",",,0,0800"
"USC00301152","CANANDAIGUA 3 S, NY US","1987-04-19","0.00","P,,0,0800","0.0","P,,0","68",",,0","45",",,0","49",",,0,0800"
"USC00301152","CANANDAIGUA 3 S, NY US","1987-04-20","0.00","P,,0,0800","0.0","P,,0","75",",,0","48",",,0","56",",,0,0800"
"USC00301152","CANANDAIGUA 3 S, NY US","1987-04-21","0.00","P,,0,0800","0.0","P,,0","79",",,0","53",",,0","65",",,0,0800"
"USC00301152","CANANDAIGUA 3 S, NY US","1987-04-22","0.00","P,,0,0800","0.0","P,,0","84",",,0","42",",,0","44",",,0,0800"
"USC00301152","CANANDAIGUA 3 S, NY US","1987-04-23","0.00","P,,0,0800","0.0","P,,0","60",",,0","42",",,0","55",",,0,0800"
"USC00301152","CANANDAIGUA 3 S, NY US","1987-04-24","0.23",",,0,0800","0.0","P,,0","68",",,0","41",",,0","41",",,0,0800"
"USC00301152","CANANDAIGUA 3 S, NY US","1987-04-25","0.01",",,0,0800","0.0","P,,0","49",",,0","35",",,0","41",",,0,0800"
"USC00301152","CANANDAIGUA 3 S, NY US","1987-04-26","0.00","P,,0,0800","0.0","P,,0","56",",,0","38",",,0","43",",,0,0800"
"USC00301152","CANANDAIGUA 3 S, NY US","1987-04-27","0.00","P,,0,0800","0.0","P,,0","63",",,0","37",",,0","47",",,0,0800"
"USC00301152","CANANDAIGUA 3 S, NY US","1987-04-28","0.37",",,0,0800","0.0","P,,0","65",",,0","38",",,0","40",",,0,0800"
"USC00301152","CANANDAIGUA 3 S, NY US","1987-04-29","0.12",",,0,0800","0.0","P,,0","49",",,0","38",",,0","43",",,0,0800"
"USC00301152","CANANDAIGUA 3 S, NY US","1987-04-30","0.06",",,0,0800","0.0","P,,0","64",",,0","36",",,0","39",",,0,0800"
